gene,hr,p,fdr
BMP7,1.0145329904700018,0.899949497752678,0.9676876319921268
NUPR1,0.9842904624339317,0.9026133134527403,0.9653618325697757
C20orf85,1.011965450012671,0.9052354273665056,0.9630164120920274
PAGE2,1.0112130093394518,0.9114420923007535,0.9644889865616438
CALML5,0.989739468094069,0.9287908947678863,0.9776746260714593
NDUFA4L2,0.9912042629134952,0.941511357042571,0.9858757665367236
COL9A1,0.9919023235986003,0.9425171686807873,0.9817887173758201
LEMD1,0.9919051190343293,0.9446636452471495,0.9789260572509321
THY1,0.9930992763997477,0.9490888290534563,0.9784420918076868
HLA-F,1.007550103101278,0.9493468134396548,0.973689039425287
IDO1,1.007274291153673,0.9505402026880125,0.9699389823347067
LTF,0.9930338575800237,0.9526364017529484,0.9671435550791354
MTRNR2L1,0.9961413997102622,0.962813151955661,0.9725385373289505
LINC01436,0.9956304140101054,0.9720632041464682,0.9769479438657972
IGFBP7,0.9958980096985143,0.9727466054616167,0.9727466054616167
